Country,Date,Confirmed,Recovered
Vietnam,1/22/2020,0,0
Vietnam,1/23/2020,2,0
Vietnam,1/24/2020,2,0
Vietnam,1/25/2020,2,0
Vietnam,1/26/2020,2,0
Vietnam,1/27/2020,2,0
Vietnam,1/28/2020,2,0
Vietnam,1/29/2020,2,0
Vietnam,1/30/2020,2,0
Vietnam,1/31/2020,2,0
Vietnam,2/1/2020,6,1
Vietnam,2/2/2020,6,1
Vietnam,2/3/2020,8,1
Vietnam,2/4/2020,8,1
Vietnam,2/5/2020,8,1
Vietnam,2/6/2020,10,1
Vietnam,2/7/2020,10,1
Vietnam,2/8/2020,13,1
Vietnam,2/9/2020,13,1
Vietnam,2/10/2020,14,1
Vietnam,2/11/2020,15,6
Vietnam,2/12/2020,15,6
Vietnam,2/13/2020,16,7
Vietnam,2/14/2020,16,7
Vietnam,2/15/2020,16,7
Vietnam,2/16/2020,16,7
Vietnam,2/17/2020,16,7
Vietnam,2/18/2020,16,7
Vietnam,2/19/2020,16,7
Vietnam,2/20/2020,16,7
Vietnam,2/21/2020,16,14
Vietnam,2/22/2020,16,14
Vietnam,2/23/2020,16,14
Vietnam,2/24/2020,16,14
Vietnam,2/25/2020,16,16
Vietnam,2/26/2020,16,16
Vietnam,2/27/2020,16,16
Vietnam,2/28/2020,16,16
Vietnam,2/29/2020,16,16
Vietnam,3/1/2020,16,16
Vietnam,3/2/2020,16,16
Vietnam,3/3/2020,16,16
Vietnam,3/4/2020,16,16
Vietnam,3/5/2020,16,16
Vietnam,3/6/2020,16,16
Vietnam,3/7/2020,18,16
Vietnam,3/8/2020,30,16
Vietnam,3/9/2020,30,16
Vietnam,3/10/2020,31,16
Vietnam,3/11/2020,38,16
Vietnam,3/12/2020,39,16
Vietnam,3/13/2020,47,16
Vietnam,3/14/2020,53,16
Vietnam,3/15/2020,56,16
Vietnam,3/16/2020,61,16
Vietnam,3/17/2020,66,16
Vietnam,3/18/2020,75,16
Vietnam,3/19/2020,85,16
Vietnam,3/20/2020,91,16
Vietnam,3/21/2020,94,17
Vietnam,3/22/2020,113,17
Vietnam,3/23/2020,123,17
Vietnam,3/24/2020,134,17
Vietnam,3/25/2020,141,17
Vietnam,3/26/2020,153,20
Vietnam,3/27/2020,163,20
Vietnam,3/28/2020,174,21
Vietnam,3/29/2020,188,25
Vietnam,3/30/2020,203,55
Vietnam,3/31/2020,212,58
Vietnam,4/1/2020,218,63
Vietnam,4/2/2020,233,75
Vietnam,4/3/2020,237,85
Vietnam,4/4/2020,240,90
Vietnam,4/5/2020,241,90
Vietnam,4/6/2020,245,95
Vietnam,4/7/2020,249,123
Vietnam,4/8/2020,251,126
Vietnam,4/9/2020,255,128
Vietnam,4/10/2020,257,144
Vietnam,4/11/2020,258,144
Vietnam,4/12/2020,262,144
Vietnam,4/13/2020,265,146
Vietnam,4/14/2020,266,169
Vietnam,4/15/2020,267,171
Vietnam,4/16/2020,268,177
Vietnam,4/17/2020,268,198
Vietnam,4/18/2020,268,201
Vietnam,4/19/2020,268,202
Vietnam,4/20/2020,268,214
Vietnam,4/21/2020,268,216
Vietnam,4/22/2020,268,223
Vietnam,4/23/2020,268,224
Vietnam,4/24/2020,270,220
Vietnam,4/25/2020,270,225
Vietnam,4/26/2020,270,225
Vietnam,4/27/2020,270,225
Vietnam,4/28/2020,270,222
Vietnam,4/29/2020,270,222
Vietnam,4/30/2020,270,219
Vietnam,5/1/2020,270,219
Vietnam,5/2/2020,270,219
Vietnam,5/3/2020,271,219
Vietnam,5/4/2020,271,219
Vietnam,5/5/2020,271,232
Vietnam,5/6/2020,271,232
Vietnam,5/7/2020,288,233
Vietnam,5/8/2020,288,241
Vietnam,5/9/2020,288,241
Vietnam,5/10/2020,288,241
Vietnam,5/11/2020,288,249
Vietnam,5/12/2020,288,252
Vietnam,5/13/2020,288,252
Vietnam,5/14/2020,312,260
Vietnam,5/15/2020,314,260
Vietnam,5/16/2020,318,260
Vietnam,5/17/2020,320,260
Vietnam,5/18/2020,324,263
Vietnam,5/19/2020,324,263
Vietnam,5/20/2020,324,263
