ma,Province,Confirm,Active,Recovered,Death
1,Hà Nội,114,0,114,0
10,Lào Cai,2,0,2,0
12,Lai Châu,1,0,1,0
19,Thái Nguyên,1,0,1,0
2,Hà Giang,1,0,1,0
22,Quảng Ninh,9,1,8,0
24,Bắc Giang,4,0,4,0
26,Vĩnh Phúc,19,0,19,0
27,Bắc Ninh,1,0,1,0
30,Hải Dương,4,1,3,0
33,Hưng Yên,1,0,1,0
34,Thái Bình,30,2,28,0
35,Hà Nam,4,0,4,0
37,Ninh Bình,13,0,13,0
38,Thanh Hóa,3,0,3,0
42,Hà Tĩnh,4,0,4,0
46,Thừa Thiên Huế,2,0,2,0
48,Đà Nẵng,6,0,6,0
49,Quảng Nam,5,2,3,0
56,Khánh Hòa,1,0,1,0
58,Ninh Thuận,2,0,2,0
60,Bình Thuận,9,0,9,0
72,Tây Ninh,4,0,4,0
75,Đồng Nai,1,0,1,0
77,Bà Rịa - Vũng Tàu,1,1,0,0
79,Hồ Chí Minh,60,3,57,0
83,Bến Tre,1,0,1,0
84,Trà Vinh,2,0,2,0
87,Đồng Tháp,6,1,5,0
92,Cần Thơ,2,0,2,0
95,Bạc Liêu,21,0,21,0
